"","X","Y","station","rok","mies","tavg","opad","cisnienie"
"92",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,10,11.3,54.1,968.9
"94",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,11,4.1,74.4,969.8
"18",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,12,1.1,9.6,971.3
"12",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,1,0.1,91.1,969.6
"154",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,2,-3.1,66.4,967.7
"128",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,3,0.8,31.7,967.8
"129",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,4,9.2,58.5,967.7
"143",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,5,13.5,125.3,969.1
"226",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,6,15.7,127.3,970.4
"171",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,7,18.6,167,968
"229",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,8,16.2,143.2,969.2
"174",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,9,14.8,102.6,972.7
"82",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,10,9.6,14,976.2
"164",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,11,3,35,970.5
"152",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2005,12,-1,111.6,966.6
"118",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,1,-6.3,47.4,977.9
"5",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,2,-2.8,39.7,966.1
"123",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,3,0.6,76.1,963.1
"137",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,4,9.1,89,966.4
"125",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,5,13.1,114.1,969.1
"114",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,6,16.8,132.5,972.6
"219",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,7,21.5,24.6,973.2
"207",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,8,16.6,130.4,963.4
"199",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,9,16.1,37.5,971.8
"79",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,10,12,34,970
"120",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,11,6.9,93.8,969.5
"13",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2006,12,4,38.7,977.1
"69",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,1,3.9,82.4,966.7
"10",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,2,2.4,55.9,964.7
"20",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,3,5.9,60,968.3
"8",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,4,10,18.7,972.8
"158",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,5,15,98.6,965
"119",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,6,18.4,120.7,966.5
"78",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,7,19.3,138.6,966.4
"80",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,8,18.6,76.9,968.2
"81",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,9,12.5,246.9,969.9
"83",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,10,7.9,75.2,975.1
"84",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,11,1.5,88.4,967.6
"29",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2007,12,-1.1,33.8,974.6
"27",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,1,2.8,31.3,972.1
"2",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,2,3.2,27,976.9
"3",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,3,3.9,61.2,958.1
"43",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,4,8.9,38.5,963.5
"57",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,5,13.3,70.9,969.1
"58",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,6,18.2,80.2,968.9
"59",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,7,18.2,182.8,968.1
"47",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,8,18.3,62,968
"48",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,9,12.6,123.7,970.8
"24",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,10,10.8,60.9,970.8
"35",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,11,6.5,30.8,967.1
"38",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2008,12,1.8,57.7,970.9
"161",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,1,-2.5,46.1,968
"242",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,2,-1,77.7,963.6
"234",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,3,2.4,134,963.9
"244",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,4,12.3,3.4,969.1
"251",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,5,13.4,104.6,971.4
"240",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,6,15.3,250.1,967.1
"228",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,7,19.5,116.1,968.6
"243",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,8,18.6,90.1,971.9
"239",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,9,15.2,32.5,973.4
"206",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,10,7.6,111.2,968.5
"162",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,11,6.6,90.9,965.1
"190",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2009,12,0.1,35,961.6
"247",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,1,-6,53.7,967
"245",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,2,-0.9,40,959.3
"227",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,3,3.6,25.3,968.3
"215",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,4,8.7,74.3,970.7
"230",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,5,11.8,511.5,964.2
"217",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,6,16.8,165.3,967.1
"201",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,7,19.7,143.5,969.6
"189",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,8,18.2,204.1,967.4
"95",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,9,12.1,115,968.6
"233",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,10,6.5,24.9,970.3
"225",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,11,7.2,56.6,959.6
"235",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2010,12,-3.3,63.9,962.5
"157",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,1,-0.1,39.4,970.6
"175",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,2,-2.5,16,971.2
"176",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,3,4.3,41.2,974.3
"208",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,4,10.2,120.6,969.8
"222",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,5,13.3,122.9,972.3
"232",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,6,17.4,81.7,969
"156",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,7,16.9,263.2,964.6
"170",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,8,19,76.8,969.4
"130",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,9,15.7,42.9,971.4
"63",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,10,8.9,50.2,974.1
"160",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,11,3.5,0,976.9
"53",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2011,12,2.9,25.7,966
"56",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,1,-1,74.3,969
"46",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,2,-6.6,39.7,974.5
"75",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,3,4.7,50.8,975.7
"131",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,4,9.8,76.8,960
"132",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,5,14.7,56.7,968.7
"133",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,6,17.7,148.3,967.3
"134",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,7,20,56.7,969
"203",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,8,19,61.8,970.7
"192",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,9,15,91,969.9
"70",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,10,9.1,114.7,967.1
"71",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,11,7,44,967.7
"102",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2012,12,-0.7,29.8,966
"163",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,1,-2.3,64.6,964.7
"169",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,2,-0.9,37.8,965.5
"183",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,3,-0.6,78.2,962.3
"197",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,4,9.2,30.4,968.3
"237",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,5,13.4,142.7,964.2
"238",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,6,16.6,199.4,968.7
"173",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,7,19.1,92.8,972.1
"200",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,8,18.7,46.8,971.6
"93",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,9,11.8,135.8,968.5
"191",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,10,11.5,28.4,972
"249",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,11,5.6,77,967.5
"155",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2013,12,2.9,18.8,973.9
"39",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,1,1,29.8,965.2
"221",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,2,4.8,26.2,965.5
"231",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,3,6.8,50.8,968.9
"241",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,4,10.2,47.3,966.5
"220",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,5,13.1,242.2,967.4
"212",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,6,15.9,113.9,969.4
"248",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,7,19.6,155.3,967.3
"236",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,8,16.9,121,967.8
"224",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,9,14.6,133,970.8
"40",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,10,10.7,73.1,971.7
"41",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,11,6.9,42,969.8
"194",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2014,12,1.5,34.7,970.1
"124",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,1,1.5,71.7,966.6
"30",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,2,0.7,52.1,968.8
"44",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,3,4.8,63.2,972.2
"36",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,4,8.6,53.8,970.3
"33",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,5,12.6,129.3,968.9
"21",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,6,17.1,46.5,971.6
"121",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,7,0,109.8,969.3
"122",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,8,21.7,26.2,970.9
"205",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,9,14.8,77.5,971.1
"193",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,10,8.1,35.2,972.9
"181",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,11,6.5,80,970.1
"140",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2015,12,5.5,22.3,980
"146",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,1,-1.4,34.2,966.6
"68",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,2,4.1,98.3,964.1
"178",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,3,4.2,57.3,966.4
"166",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,4,9,96.5,965.6
"85",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,5,13.6,71.5,967
"17",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,6,18,63.9,967.8
"31",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,7,18.9,210.8,970.1
"23",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,8,17.6,87.3,973.1
"62",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,9,16,68.3,972.3
"187",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,10,7.7,189.7,972.9
"66",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,11,4.8,53.8,969.2
"67",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2016,12,0.1,44.1,979.1
"184",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,1,-4.9,10.2,974.1
"90",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,2,0.9,47.8,971
"64",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,3,6.3,62,969.1
"65",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,4,7.2,152.5,969.1
"147",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,5,13.8,80.5,969.8
"32",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,6,18.5,56.5,968.1
"42",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,7,18.8,103.7,968.1
"151",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,8,19.9,77,971.6
"139",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,9,13.1,324,968.8
"73",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,10,10.1,99.7,970.3
"74",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,11,4.7,73.7,967.8
"88",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2017,12,2.3,27,966
"126",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,1,2.3,23.5,967.9
"196",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,2,-3.7,34.1,969.5
"198",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,3,1,28.5,959.8
"186",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,4,14.3,10.3,967.9
"172",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,5,16.2,91.1,969.9
"105",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,6,17.6,135.5,968.6
"106",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,7,18.7,126.3,967.8
"188",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,8,20.5,54.9,970.9
"108",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,9,15.3,137.9,973.8
"109",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,10,11.2,70.5,971.9
"110",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,11,5.4,10.6,974.2
"180",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2018,12,1.5,82.2,970.1
"204",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,1,-2,60.6,962.9
"182",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,2,3.4,30.5,974.2
"115",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,3,6.1,53.6,968.8
"145",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,4,9.8,91.9,969
"214",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,5,11.2,276.5,965.9
"202",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,6,21.4,61.5,971.2
"148",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,7,18.7,98.4,967.6
"149",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,8,19.9,127.5,971.1
"150",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,9,14.3,121,971.7
"165",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,10,11.8,48.1,969.7
"153",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,11,8.2,50.1,962.3
"141",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2019,12,3.9,64,966.9
"14",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,1,1.6,18.2,975.8
"28",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,2,4.6,83,966.2
"11",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,3,4.9,32.2,970.5
"6",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,4,9.8,31.8,971
"7",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,5,10.5,195.9,970.7
"96",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,6,16.9,184.2,965.5
"97",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,7,18.3,130.6,969.9
"98",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,8,19.6,130.3,968.2
"86",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,9,15,117.7,970.8
"50",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,10,10.3,186.4,966.5
"22",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,11,5.1,43.5,977.6
"9",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2020,12,1.9,28.3,965.5
"281",19.9603175597225,49.293820537783,"ZAKOPANE",2000,1,-5,75.6,917.8
"285",19.9603175597225,49.293820537783,"ZAKOPANE",2000,2,-0.9,77.8,917.9
"286",19.9603175597225,49.293820537783,"ZAKOPANE",2000,3,0,138.7,914.5
"287",19.9603175597225,49.293820537783,"ZAKOPANE",2000,4,8.3,86.3,912.2
"288",19.9603175597225,49.293820537783,"ZAKOPANE",2000,5,12,117.9,918.9
"289",19.9603175597225,49.293820537783,"ZAKOPANE",2000,6,14,128.1,921.6
"290",19.9603175597225,49.293820537783,"ZAKOPANE",2000,7,13.4,327.6,914
"291",19.9603175597225,49.293820537783,"ZAKOPANE",2000,8,15.8,44.2,921.1
"292",19.9603175597225,49.293820537783,"ZAKOPANE",2000,9,9.3,93.7,918.7
"282",19.9603175597225,49.293820537783,"ZAKOPANE",2000,10,11.2,36.3,919.9
"283",19.9603175597225,49.293820537783,"ZAKOPANE",2000,11,6.4,67.2,914
"284",19.9603175597225,49.293820537783,"ZAKOPANE",2000,12,-0.1,24.2,913.9
"449",19.9603175597225,49.293820537783,"ZAKOPANE",2001,1,-3.4,64.8,916.6
"459",19.9603175597225,49.293820537783,"ZAKOPANE",2001,2,-2.3,53.7,915.1
"424",19.9603175597225,49.293820537783,"ZAKOPANE",2001,3,1.6,59.6,909
"425",19.9603175597225,49.293820537783,"ZAKOPANE",2001,4,5.1,140.3,913
"426",19.9603175597225,49.293820537783,"ZAKOPANE",2001,5,11.8,102.3,918
"427",19.9603175597225,49.293820537783,"ZAKOPANE",2001,6,11.6,254,916.6
"428",19.9603175597225,49.293820537783,"ZAKOPANE",2001,7,15.9,439.2,917.9
"429",19.9603175597225,49.293820537783,"ZAKOPANE",2001,8,15.9,75.3,921
"430",19.9603175597225,49.293820537783,"ZAKOPANE",2001,9,9.3,123,914.1
"418",19.9603175597225,49.293820537783,"ZAKOPANE",2001,10,9.3,26.1,921.9
"310",19.9603175597225,49.293820537783,"ZAKOPANE",2001,11,-0.9,74,917.2
"269",19.9603175597225,49.293820537783,"ZAKOPANE",2001,12,-6.5,49.9,917.5
"295",19.9603175597225,49.293820537783,"ZAKOPANE",2002,1,-2.6,26.1,921.6
"296",19.9603175597225,49.293820537783,"ZAKOPANE",2002,2,1.8,44.4,914.3
"297",19.9603175597225,49.293820537783,"ZAKOPANE",2002,3,1.9,64.8,916.9
